manifesto_id,text,cmp_code,eu_code
31110_201706,Il y a urgence car notre pays est au bord de la rupture.,606.1,NA
31110_201706,Il est pris d’une inquiétante tentation du vide –ou du pire.,606.1,NA
31110_201706,"Il glisse vers le repli nationaliste et le rétrécissement identitaire, le rejet et la haine de l’autre.",607.1,NA
31110_201706,"Le débat politique lui-même s’affaisse, surjouant les simplifications, forgeant des boucs émissaires pour justifier tous les renoncements.",606.1,NA
31110_201706,La France souffre de ne plus avoir de projet partagé collectivement.,606.1,NA
31110_201706,Cela dégénère en un sauve-qui-peut généralisé qui pourrait très mal finir.,606.1,NA
31110_201706,"Malgré les discours et les tentatives trop frileuses, les gouvernements qui se succèdent nient la réalité qui nous percute brutalement:",305.1,NA
31110_201706,notre modèle de développement remet en cause les conditions mêmes de vie et de survie sur la planète.,416.2,NA
31110_201706,"Il provoque bouleversements climatiques, nouvelle extinction de masse des espèces vivantes, épuisement des ressources et explosion des maladies liées à l’environnement.",416.2,NA
31110_201706,Il maltraite les animaux comme nous nous maltraitons nousmêmes.,416.2,NA
31110_201706,"Il génère une concentration des richesses sans précédent, avec pour corollaire l’aggravation des inégalités, le chômage, la précarité et les maladies psychosociales.",503,NA
31110_201706,"Rentiers de ce vieux monde, les dirigeants politiques de droite comme, trop souvent, de gauche, ne veulent rien lâcher.",305.1,NA
31110_201706,"À vouloir sauver leur passé, ils sacrifient notre futur.",305.1,NA
31110_201706,Les Français sont en état de légitime défiance.,202.1,NA
31110_201706,"Pourtant, rien n’est encore joué.",606.1,NA
31110_201706,Les Françaises et les Français peuvent décider d’un tout autre scénario et s’offrir un avenir qui nous fasse du bien.,606.2,NA
31110_201706,"Partout dans notre pays, en ville et à la campagne, dans les associations, les entreprises, les centres de recherche et les institutions, une multitude d’initiatives et d’expériences apportent déjà des réponses aux défis auxquels nous sommes confrontés, construisent aujourd’hui le monde de demain, inventent un vivre et un faire ensemble qui répare la société, prend soin des femmes, des hommes et de la nature, tisse de nouvelles solidarités et revitalise la démocratie.",606.2,NA
31110_201706,Le projet que nous portons est immense et exaltant:,305.1,NA
31110_201706,"réformer les institutions pour déverrouiller la démocratie,",202.1,NA
31110_201706,"casser les rentes pour libérer l’économie,",401,NA
31110_201706,dépasser les conservatismes et les corporatismes pour débloquer la société.,604,NA
31110_201706,"Bref, faire sauter les digues qui empêchent cette révolution silencieuse d’irriguer la société, enrichir la démocratie partout où elle peut être efficace, là où elle permet de retrouver notre dignité, la maîtrise de nos vies et les leviers du changement.",606.1,NA
31110_201706,"Notre projet est un vote d’adhésion et d’espoir, c’est un vote d’action et de réconciliation avec la politique et l’action publique.",305.1,NA
31110_201706,"Un vote qui tourne la page du vote par défaut, du vote de colère ou de renoncement.",305.1,NA
31110_201706,"Notre projet, c’est « la France Vive ».",606.1,NA
31110_201706,"Il est constructif et positif, bienveillant et exigeant, pragmatique et visionnaire: l’écologie se met au service de la France tout entière.",606.1,NA
31110_201706,La grandeur de la France et sa place dans le monde occupent tous les esprits.,601.1,NA
31110_201706,Le sujet de sa vie et de sa survie est encore plus prépondérant.,601.1,NA
31110_201706,"La France Vive est un appel à la vie, un appel à ce qu’il y a de plus fondamental pour toutes et tous.",601.1,NA
31110_201706,"La France Vive, c’est la France en vie.",601.1,NA
31110_201706,Le pire ennemi de notre société est devenu l’immobilisme.,606.1,NA
31110_201706,La politique doit cesser de cultiver le passé –et de le financer: la France n’est pas un musée!,305.1,NA
31110_201706,"Les politiques publiques qui détruisent les emplois, abîment l’environnement et notre santé, c’est terminé!",305.1,NA
31110_201706,"Face aux insécurités anciennes et nouvelles, nous créerons de nouvelles sécurités, individuelles et collectives.",504,NA
31110_201706,La France Vive est une célébration des forces vives de notre pays et de la vivacité de chacun au bénéfice de toutes et tous.,606.1,NA
31110_201706,"Une France généreuse et ouverte,",607.1,NA
31110_201706,une France de la création et de l’innovation.,411,NA
